Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
298.1,308.6,1551,42.8,0
298.2,308.7,1408,46.3,3
298.1,308.5,1498,49.4,5
298.2,308.6,1433,39.5,7
298.2,308.7,1408,40,9
298.1,308.6,1425,41.9,11
298.1,308.6,1558,42.4,14
298.1,308.6,1527,40.2,16
298.3,308.7,1667,28.6,18
298.5,309,1741,28,21
298.4,308.9,1782,23.9,24
298.6,309.1,1423,44.3,29
298.6,309.1,1339,51.1,34
298.6,309.2,1742,30,37
298.6,309.2,2035,19.6,40
298.6,309.2,1542,48.4,42
298.6,309.2,1311,46.6,44
298.7,309.2,1410,45.6,47
298.8,309.2,1306,54.5,50
298.9,309.3,1632,32.5,55
298.9,309.3,1375,42.7,58
298.8,309.3,1450,44.8,63
298.9,309.3,1581,30.7,65
299,309.4,1758,25.7,68
299,309.4,1561,37.3,70
299,309.5,1861,23.3,73
299.1,309.5,1512,39,75
299.1,309.4,1811,24.6,77
299.1,309.4,1439,44.2,82
299,309.4,1693,30.1,84
299.1,309.5,1339,48.2,86
299,309.4,1798,25.5,89
299,309.4,1419,48.3,91
298.9,309.3,1665,32.5,93
298.8,309.1,1559,34.7,95
298.8,309.2,1452,48.6,98
298.9,309.2,1581,36.7,101
298.8,309.1,1439,39.2,104
298.9,309.2,1379,50.7,106
298.8,309.1,1350,52.5,111
298.8,309.1,1362,45.4,113
298.8,309.1,1368,50.8,115
298.8,309.1,1368,49.1,117
298.8,309.2,1372,48.5,120
298.8,309.1,1472,47.5,125
298.8,309.1,1489,49.1,128
298.7,309,1843,25.8,130
298.8,309.1,1418,46.3,133
298.8,309.2,1425,53.9,135
298.9,309.2,1412,44.1,140
298.9,309.1,2861,4.6,143
298.9,309.1,1383,54.9,145
298.8,309,1497,43.8,147
298.7,309,1565,35.1,152
298.7,309,1691,30.1,154
298.8,309.1,1512,40.7,156
298.8,309.1,1477,42.4,158
298.8,309.1,1513,40.3,160
298.8,309,1661,29.5,162
298.8,309.1,1378,54.4,165
298.8,309.1,1393,52.6,167
298.8,309,1592,38.2,169
298.8,309,1829,22.9,172
298.9,309,1812,25.9,174
299,309.1,1523,38.6,177
299,309.1,1394,45.1,179
298.9,308.9,1679,28.7,181
298.8,308.9,1466,44.1,184
298.8,308.9,1527,32.4,189
298.9,309,1410,65.7,191
298.9,309,1924,22.6,193
298.9,309.1,1452,45.5,196
298.9,309.1,1369,44.4,198
299,309.1,1592,35,200
298.9,309,1601,32.3,202
298.8,308.9,1379,46.7,204
298.8,308.9,1461,47.9,206
298.8,308.9,1455,41.3,208
298.8,308.9,1398,51.5,0
298.8,308.9,1402,37.9,2
298.8,308.8,1445,49.9,4
298.9,308.9,1450,47.5,9
298.9,308.9,1453,40.8,11
299,309,1469,40.1,13
298.9,308.9,1422,47.6,15
299,309,1804,26.8,17
299,309,1436,43.9,20
299,309,1544,31.8,25
299,309,1419,45.2,27
298.9,308.9,1487,39.5,30
298.9,308.9,1753,25.8,33
298.9,308.9,1830,24.9,35
298.9,308.9,1727,27.1,37
299.1,309,1450,43,40
299,308.9,1622,31.9,42
299,309,1351,52.2,44
299,309,1575,35.3,47
298.9,308.9,1750,29.9,50
298.9,308.8,1529,32.7,53
298.8,308.8,1523,44.4,55
298.8,308.9,1852,25,57
298.8,308.8,1991,20.7,59
298.8,308.8,1555,40.6,61
298.8,308.8,1441,40.5,63
298.8,308.7,1450,43.4,66
298.8,308.7,1591,31.1,68
298.8,308.7,1445,48.5,70
298.8,308.8,1497,46.8,72
298.9,308.8,1621,32.7,75
298.9,308.7,1572,34.1,80
298.8,308.6,1872,22.5,82
298.7,308.6,1499,43.5,84
298.8,308.7,1498,39.5,89
298.8,308.6,1486,41.9,92
298.8,308.6,1680,29.4,95
298.8,308.6,1431,45.7,97
298.9,308.7,1564,34.1,99
298.8,308.6,1599,33,101
298.8,308.6,1707,28.1,103
298.7,308.5,1467,40.7,106
298.9,308.7,1433,44.7,108
298.9,308.7,1558,41.2,110
299,308.8,1310,50.7,112
298.9,308.7,1546,43.4,114
298.9,308.7,1727,29.4,116
298.9,308.6,1560,32.2,118
299,308.6,1329,60.5,120
298.9,308.6,1413,46.5,122
299,308.6,1587,38.6,124
298.9,308.5,1559,34.3,126
298.8,308.4,1473,41.1,128
298.8,308.4,1737,27.7,130
298.7,308.4,1441,43.2,132
298.7,308.4,1430,49.6,135
298.8,308.4,1369,53,138
298.8,308.5,1711,28.5,140
298.7,308.5,1420,45.7,143
298.7,308.6,1297,55.3,148
298.8,308.6,1449,49.4,150
298.8,308.6,1268,55.8,155
298.8,308.6,1511,36.1,157
298.7,308.5,1544,35.2,159
298.6,308.4,1778,28.2,161
298.6,308.4,1407,50.5,164
298.6,308.4,1391,42.4,169
298.5,308.4,1513,33.6,172
298.5,308.4,1612,36.1,174
298.4,308.4,1515,40.1,179
298.3,308.3,1379,48,181
298.4,308.3,1473,39.9,184
298.4,308.3,1422,42.7,186
298.4,308.2,1463,37.6,188
298.4,308.2,1584,41,191
298.4,308.2,1850,27,194
298.4,308.2,1528,36.2,196
298.4,308.2,1987,19.8,198
298.4,308.1,1495,46,203
298.4,308.2,1478,43.5,206
298.4,308.2,1499,40,211
298.4,308.2,1471,47,214
298.4,308.2,1282,60.7,216
298.3,308.1,1412,52.3,218
298.3,308.1,1586,35.5,0
298.4,308.2,1468,43.8,2
298.5,308.3,1440,43.6,5
298.5,308.4,1733,26,8
298.4,308.2,1612,32.6,10
298.4,308.3,1458,42.9,15
298.4,308.3,1433,62.3,20
298.4,308.3,1318,59.1,22
298.4,308.2,1610,35,24
298.2,308.1,1462,50.8,27
298.1,308,1924,20.8,29
298.2,308,1591,33.7,32
298.2,308.1,1306,58.3,35
298.2,308.1,1382,43.5,37
298.2,308.1,1618,34.7,39
298.2,308.2,1988,21.4,41
298.2,308.2,1436,50.2,43
298.2,308.3,1304,49.8,45
298.2,308.3,1475,49.9,47
298.2,308.3,1824,24.2,49
298.1,308.2,1342,48.1,54
298.1,308.2,1485,40.7,57
298.2,308.2,1667,30.6,59
298.2,308.2,1446,38.2,61
298.1,308.3,1301,56,63
298.2,308.4,1379,43.1,65
298.3,308.5,1606,33.6,67
298.3,308.4,1539,43.4,69
298.2,308.4,1477,49.9,72
298.2,308.4,1666,34.6,74
298.2,308.4,1398,51.8,76
298.2,308.4,1678,34.6,81
298.2,308.5,2678,10.7,86
298.3,308.5,1453,42.9,89
298.3,308.6,1432,49.5,91
298.4,308.6,1527,40.9,96
298.4,308.7,1588,35,99
298.4,308.6,1433,47.1,101
298.4,308.6,1609,35,103
298.3,308.5,1575,41.2,105
298.4,308.5,1636,35.7,107
298.4,308.5,1490,37.9,110
298.4,308.5,1741,32.8,112
298.5,308.6,1344,53,114
298.5,308.7,1609,35.3,117
298.4,308.7,1421,60.7,119
298.4,308.6,1591,36.7,122
298.4,308.6,1477,44,124
298.4,308.7,1523,36.1,126
298.5,308.7,1575,33.9,128
298.4,308.7,1344,52.9,130
298.4,308.7,1386,44.9,135
298.3,308.6,1589,37.1,137
298.3,308.6,1548,40.3,140
298.3,308.6,1499,38.3,142
298.3,308.5,1664,31.6,144
298.3,308.6,1447,38.1,146
298.3,308.5,1434,46.2,148
298.3,308.5,1416,52.7,151
298.4,308.5,1827,24.3,153
298.4,308.6,1304,45,158
298.4,308.6,1569,34.4,160
298.3,308.6,1584,29.3,162
298.3,308.5,1362,53.8,164
298.3,308.4,1329,49.2,166
298.3,308.5,1539,36.1,168
298.3,308.5,1629,37.1,170
298.3,308.5,1538,32.2,173
298.3,308.6,1570,34.8,175
298.3,308.4,1408,43.1,177
298.2,308.4,1424,47.6,179
298.2,308.4,1512,34.9,181
298.2,308.4,1478,42.9,183
298.1,308.3,1680,33.7,185
298.1,308.3,1495,38.7,188
298,308.1,1552,36.6,190
297.9,308.1,1393,50.3,193
298,308.2,1611,30.6,195
298,308.1,1339,51.6,197
298,308.1,1777,24.3,200
298,308.2,1348,58.8,202
298,308.2,1442,44.1,204
298,308.2,1395,49.1,206
297.9,308.1,1627,31.4,209
297.9,308.1,1585,33.5,212
298,308.2,1469,45.5,214
298,308.3,1362,56.8,216
298,308.3,1405,56.2,218
298,308.3,1662,32.7,0
298,308.2,1466,42.6,2
298,308.2,1620,35.8,5
298,308.2,1357,48.2,7
298,308.2,1514,37.9,9
298,308.2,1489,40.4,11
298.1,308.3,1331,63,13
298,308,1615,29.5,15
298.1,308.2,1482,37.9,17
298.1,308.2,1420,63.9,19
298.2,308.3,1522,49.1,22
298.1,308.2,1654,32.1,25
298.1,308.2,1736,26.8,27
298,308.1,1587,32.3,30
298.1,308.2,1390,47.5,33
298,308.1,1454,37.1,35
298,308.1,1440,43.7,37
297.9,308,1954,21.1,42
297.9,308,1800,24.8,44
298,308,1524,37,49
298,308,1520,39.6,51
298.1,308.1,1452,40.8,56
298.1,308.1,1484,40.4,59
298.1,308,1426,46,61
298.1,308,1652,28.5,63
298,308,1401,54.7,65
298,307.9,1750,26.6,67
298,308,1479,50.7,70
298,308,1620,29.4,75
298,308.1,1819,23.4,78
298.1,308.1,1456,43.7,80
298.1,308,1626,36.5,83
298.1,308.1,1390,49.8,85
298.2,308.2,1469,43,88
298.2,308.3,2051,19.2,90
298.2,308.3,1568,36,92
298.2,308.3,1589,33.2,94
298.2,308.3,1805,31.6,96
298.2,308.4,1385,42.2,98
298.1,308.4,1436,46.7,103
298.1,308.4,1438,45.6,105
298,308.3,1473,42.6,107
298.1,308.4,1335,40.2,109
298.1,308.5,1392,44.8,111
298.1,308.5,1372,51.1,116
298.1,308.6,1716,30.7,119
298,308.5,1395,46.2,122
298,308.5,1713,25.3,124
297.9,308.5,2129,18.7,126
297.8,308.3,1567,35.6,131
297.8,308.4,1622,38.3,134
297.7,308.4,1740,27.1,136
297.8,308.4,1512,35.1,138
297.8,308.4,1479,43.5,143
297.8,308.4,1737,27.5,146
297.8,308.4,2129,19.2,148
297.8,308.4,1374,47.1,150
297.8,308.4,1579,36.6,152
297.9,308.5,1305,47.2,155
297.9,308.5,1449,40.8,157
298,308.6,1526,41.8,160
298,308.6,1453,44.1,165
297.9,308.6,1468,36,168
298,308.6,1313,50.8,170
297.9,308.5,1300,53,172
297.9,308.4,1646,40.6,175
297.8,308.4,1714,33.2,177
297.8,308.4,1685,28.4,179
297.8,308.4,1512,39.9,181
297.8,308.4,1612,32.1,183
297.8,308.4,1550,38.2,185
297.8,308.4,1518,32.5,190
297.8,308.5,1448,40,192
297.8,308.5,1561,46.3,194
297.8,308.5,1488,41.9,196
297.8,308.5,1699,27.8,199
297.7,308.5,1501,41.4,201
297.7,308.5,1373,56.7,203
297.6,308.4,1703,31.4,205
297.7,308.5,1720,29.9,210
297.6,308.4,1398,41.9,215
297.6,308.4,1391,51.9,218
297.6,308.3,1538,40.2,0
297.5,308.2,1647,31.3,3
297.5,308.1,1469,44.8,5
297.4,308.1,1749,25.9,8
297.6,308.2,1995,20.5,10
297.6,308.3,1742,27.7,13
297.5,308.2,1563,38.2,15
297.5,308.2,1713,32.2,17
297.4,308.1,1474,39.4,20
297.4,308.2,1530,32.6,22
297.4,308.2,1471,46.5,25
297.5,308.3,1388,48.6,27
297.5,308.2,2448,13.8,29
297.5,308.3,1585,32.9,32
297.5,308.3,1459,45.2,34
297.5,308.3,1544,40.8,37
297.6,308.3,1617,31.7,39
297.6,308.3,1595,34.3,41
297.6,308.3,1400,44.3,43
297.6,308.4,1611,31,48
297.6,308.4,1507,46,51
297.5,308.3,1674,30,54
297.6,308.3,1658,34.3,59
297.6,308.3,1623,36.9,61
297.6,308.4,1398,48.9,63
297.6,308.4,1517,34.2,66
297.6,308.3,1467,36.7,68
297.6,308.3,1567,34.6,71
297.5,308.3,1521,38.2,74
297.5,308.3,1596,36.8,77
297.6,308.3,1640,30.9,79
297.6,308.3,1438,47.8,84
297.6,308.4,1407,55.2,86
297.6,308.4,1353,57.5,88
297.6,308.5,1552,40.9,90
297.6,308.4,1569,38.3,93
297.5,308.4,1489,39.5,96
297.5,308.4,1587,36.1,98
297.5,308.3,1622,37.2,103
297.5,308.4,1604,38.1,106
297.4,308.3,1405,51.7,108
297.4,308.3,1412,42,111
297.4,308.3,1431,43,113
297.4,308.2,1533,37.4,115
297.4,308.2,1401,51.9,117
297.4,308.2,1424,53.9,120
297.3,308.2,1754,29.4,123
297.3,308.2,1754,26.8,125
297.5,308.3,2564,12.8,127
297.5,308.5,1546,40.4,129
297.5,308.5,1335,48,131
297.5,308.6,1842,27,133
297.5,308.5,1712,26.8,136
297.6,308.6,1414,45.4,138
297.6,308.7,1319,50.9,141
297.7,308.7,1249,60.4,143
297.6,308.7,1455,48.2,145
297.6,308.7,1408,54.8,147
297.6,308.7,1460,46.7,150
297.6,308.6,1491,38.1,152
297.6,308.5,1490,43.4,154
297.5,308.4,1350,52.2,157
297.5,308.4,1528,39.9,160
297.4,308.3,1571,37.7,162
297.4,308.3,1490,42.6,164
297.4,308.3,1774,28.9,166
297.4,308.3,1502,43.6,169
297.4,308.4,1392,49.7,174
297.4,308.5,2100,16.9,176
297.5,308.5,1722,30.4,178
297.4,308.6,1678,32.3,180
297.3,308.6,1273,59.8,182
297.3,308.6,1297,45.9,184
297.3,308.5,1350,57.6,186
297.4,308.6,1439,51.9,188
297.4,308.5,1600,42.1,190
297.4,308.6,1434,44.4,193
297.4,308.6,1459,41.3,196
297.5,308.6,1472,44.9,198
297.5,308.7,1429,44.3,201
297.5,308.6,1388,48.2,203
297.4,308.4,1573,34.5,205
297.4,308.4,1588,32.5,207
297.5,308.4,1511,42.8,209
297.4,308.5,1495,37.8,211
297.4,308.4,1394,50.1,213
297.4,308.4,2151,17.7,0
297.3,308.3,1501,38.2,2
297.3,308.3,1301,39.6,5
297.3,308.3,1657,31.1,8
297.3,308.3,1333,55.2,11
297.3,308.3,1484,43.9,13
297.3,308.4,1430,45.7,15
297.3,308.4,1665,28.9,17
297.4,308.5,1501,44.9,20
297.5,308.5,1496,42.2,22
297.6,308.6,1595,36.9,25
297.5,308.6,1208,62.3,28
297.5,308.6,1596,37.1,30
297.5,308.5,1446,41.9,32
297.6,308.5,1466,39.7,34
297.6,308.5,1848,23.7,37
297.5,308.5,1484,44.7,40
297.4,308.3,1493,41.2,43
297.3,308.3,1504,36.3,45
297.3,308.3,1538,38.5,47
297.4,308.4,1341,52.2,49
297.4,308.3,1535,34.6,51
297.4,308.5,1389,39.2,54
297.5,308.5,1393,46.6,56
297.4,308.5,1399,61.5,61
297.4,308.5,1469,45.1,63
297.4,308.4,1582,37.2,68
297.5,308.6,1793,26.7,70
297.5,308.6,1452,39,72
297.6,308.7,1376,59.9,74
297.5,308.6,1552,44.9,77
297.6,308.7,1622,37.9,79
297.6,308.7,1419,41.7,81
297.5,308.6,1440,46.1,84
297.4,308.6,1643,31,89
297.4,308.7,1510,36.2,92
297.4,308.7,1468,46.6,94
297.4,308.7,1429,57.4,96
297.3,308.7,1478,47.6,98
297.4,308.6,1276,53.6,103
297.3,308.6,1486,42.6,105
297.4,308.6,1476,42.3,107
297.3,308.6,1431,42,109
297.4,308.7,1402,40.2,114
297.4,308.7,1433,43.4,116
297.4,308.7,2874,4.2,118
