Length,Width,Height,Permittivity,Conductivity,Bend,Feed,S11,VSWR,Gain,Efficiency,Bandwidth,epsilon_r,FaultLabel
46.72,38.62,1.46,1.51,12210.65,0.56,-10.27,-7.09,3.41,5.09,62.26,102.74,3.9,1
40.32,36.17,1.3,1.61,9589.73,0.48,-17.33,-7.92,2.47,5.17,66.61,96.06,3.03,1
43.84,35.89,1.17,1.53,4067.44,0.99,-11.95,-18.97,3.2,5.07,83.42,150.03,3.65,1
43.77,39.46,1.26,1.88,13052.58,0.67,-10.07,-12.89,1.72,3.83,42.22,54.23,3.51,1
46.48,39.66,1.3,2.44,12682.11,1.08,-17.57,-22.94,1.44,3.48,77.39,93.0,2.06,1
46.99,32.06,1.03,1.8,6484.08,0.87,-17.98,-10.36,1.05,-0.83,58.1,150.01,1.62,1
41.58,31.19,0.93,1.92,6802.63,0.9,-9.53,-14.41,1.67,4.38,49.54,59.47,1.8,1
49.57,37.86,1.21,2.33,12306.06,0.54,-14.3,-11.18,1.4,4.96,33.48,46.41,2.56,1
44.03,35.91,1.05,1.66,10656.42,0.28,-21.62,-6.3,3.33,-0.3,74.18,138.77,3.48,1
43.06,31.72,0.97,2.03,11400.38,1.14,-9.39,-9.47,2.9,5.99,66.57,133.8,2.97,1
40.97,35.86,1.16,1.82,4049.78,0.45,-19.55,-17.16,3.14,-0.18,52.73,131.06,2.88,1
46.34,36.21,1.37,1.89,7973.02,0.82,-24.97,-20.77,2.0,0.68,68.24,85.44,1.72,1
46.79,34.3,1.59,1.54,10348.89,0.97,-18.81,-4.1,1.73,1.23,54.17,48.77,2.48,1
48.3,39.0,0.97,1.56,12709.79,0.62,-19.3,-23.87,3.81,-0.21,64.32,136.24,2.77,1
48.24,31.25,1.18,2.11,12045.38,1.05,-13.58,-3.65,1.19,1.35,78.38,66.43,3.38,1
49.65,35.81,1.05,2.29,3264.12,1.04,-22.62,-24.47,1.43,4.85,33.04,149.65,1.63,1
46.32,34.8,1.45,2.11,9731.05,0.43,-5.93,-3.3,3.99,4.48,89.37,105.11,2.76,1
48.77,33.86,0.97,1.92,10903.21,0.98,-11.46,-23.42,3.39,-0.07,36.9,65.48,1.51,1
43.85,35.52,1.08,1.81,4892.56,0.53,-11.2,-8.54,3.93,3.41,65.64,45.64,2.92,1
41.89,32.25,1.32,2.44,9437.62,0.12,-8.05,-4.98,1.42,1.78,72.85,91.92,1.9,1
41.03,35.87,1.05,2.19,11594.6,1.05,-10.14,-7.19,3.52,5.97,49.74,110.66,3.18,1
49.58,37.6,1.56,2.17,11883.61,1.12,-6.15,-3.47,1.01,3.09,87.62,117.89,3.25,1
43.09,32.3,1.47,2.19,11183.91,1.01,-22.36,-5.36,1.52,1.97,89.9,114.75,1.74,1
48.29,30.55,0.82,1.68,6304.0,0.74,-14.19,-18.5,2.89,5.24,71.6,42.82,2.19,1
46.48,39.66,1.3,2.44,12682.11,1.08,-17.57,-22.94,1.44,3.48,77.39,93.0,2.06,1
49.89,35.04,1.41,2.07,9812.95,0.96,-9.31,-20.48,1.48,0.29,43.89,49.41,2.1,1
41.37,30.1,1.14,2.16,12920.12,0.41,-23.64,-14.4,2.02,1.34,32.84,102.39,1.64,1
41.76,34.07,1.55,2.36,4342.35,0.95,-6.9,-7.05,3.84,5.62,73.86,76.03,2.92,1
42.38,38.39,0.87,1.53,4977.97,0.51,-14.75,-18.67,3.02,1.96,30.64,135.03,3.19,1
44.24,34.64,1.0,1.82,6029.39,0.41,-12.84,-24.49,3.81,2.6,60.13,90.63,1.96,1
42.6,35.37,1.19,1.52,3585.31,0.31,-15.15,-10.51,2.56,3.02,89.52,50.52,1.87,1
48.14,36.78,1.01,1.53,10281.45,0.46,-7.2,-19.85,2.65,0.39,88.0,117.15,2.79,1
49.8,30.45,1.43,2.41,13159.2,0.4,-13.09,-5.17,3.67,5.03,82.88,127.18,2.44,1
41.23,33.17,1.36,1.62,13686.36,0.17,-9.5,-9.82,2.54,4.34,62.87,123.27,1.59,1
47.13,33.1,1.56,2.11,3638.76,0.4,-15.09,-24.05,3.69,1.96,61.81,43.27,3.33,1
49.3,34.67,1.58,1.53,10991.48,0.46,-22.17,-13.25,2.37,0.41,71.6,42.65,1.85,1
42.4,32.5,1.15,1.56,10384.9,0.1,-23.18,-12.21,3.99,1.97,57.14,154.24,3.17,1
44.59,34.78,1.59,1.58,13873.82,0.33,-9.88,-9.5,3.26,-0.21,30.98,138.73,3.51,1
47.04,39.36,1.21,2.2,10768.27,0.33,-12.11,-3.4,1.33,3.82,66.86,85.1,2.49,1
48.29,37.35,1.55,2.0,5120.14,0.26,-16.17,-12.94,3.97,3.37,88.26,153.48,3.89,1
41.74,31.7,1.33,1.66,4320.64,0.65,-9.07,-11.69,3.26,0.86,47.1,91.44,2.92,1
49.47,39.38,1.53,1.54,11989.62,0.87,-11.89,-9.33,3.71,3.48,52.35,104.55,3.5,1
45.95,30.35,1.43,1.81,7078.68,0.68,-20.02,-4.76,1.49,1.9,47.38,102.38,2.6,1
48.65,38.35,1.06,2.18,8510.56,0.38,-11.07,-14.77,3.09,4.17,63.72,71.72,1.83,1
46.62,37.63,1.19,1.53,6975.51,0.79,-15.39,-4.78,1.55,-0.78,56.44,66.62,1.71,1
44.99,31.89,0.95,1.53,4484.19,0.75,-22.73,-21.53,1.99,1.1,83.54,53.53,3.96,1
40.48,30.56,0.98,2.36,12215.12,0.39,-24.81,-19.25,3.8,2.89,34.8,127.01,3.77,1
45.77,36.85,0.98,2.44,6161.33,1.02,-16.06,-18.05,3.57,5.81,58.76,105.96,2.39,1
45.5,31.83,1.55,2.43,14710.04,0.16,-11.41,-5.74,1.93,3.34,70.17,55.51,2.89,1
40.05,36.86,0.87,1.68,11416.53,0.39,-24.08,-6.79,1.38,-0.09,83.08,156.61,3.32,1
44.97,38.86,1.49,2.38,11143.73,1.13,-11.38,-22.36,1.63,0.54,39.3,101.91,3.33,1
48.24,31.08,1.22,2.03,11279.81,0.19,-20.39,-8.83,3.16,2.59,32.77,42.22,2.6,1
49.75,37.54,1.5,1.98,5995.42,0.22,-22.0,-19.03,3.35,-0.1,89.92,45.03,3.57,1
45.78,32.91,0.84,2.18,6418.38,0.73,-13.37,-17.99,1.81,-0.14,79.76,74.99,2.59,1
44.25,34.03,1.12,1.81,5008.16,1.01,-22.56,-11.3,1.48,5.07,43.67,55.09,1.64,1
44.08,33.77,1.5,2.46,12261.79,0.81,-19.7,-19.18,2.34,1.86,72.35,90.15,3.02,1
46.97,30.78,1.18,1.77,3402.66,0.5,-19.04,-5.32,2.7,0.63,48.42,102.95,3.92,1
41.32,37.32,1.1,2.06,13307.08,0.92,-11.94,-3.91,2.27,-0.83,87.68,89.01,2.5,1
48.12,35.96,1.34,1.92,9154.82,0.79,-8.25,-20.6,2.37,0.29,41.83,44.28,2.42,1
44.67,38.39,0.86,1.55,8552.17,1.0,-8.34,-22.52,1.46,3.65,39.4,108.14,2.51,1
41.3,31.38,1.37,1.55,8719.47,0.71,-16.51,-19.55,2.87,-0.32,40.48,75.44,2.27,1
47.53,39.24,0.82,1.72,12990.01,0.81,-16.99,-22.51,3.47,1.3,35.79,48.72,3.27,1
48.29,37.35,1.55,2.0,5120.14,0.26,-16.17,-12.94,3.97,3.37,88.26,153.48,3.89,1
41.88,37.48,1.13,1.89,4846.25,0.57,-5.01,-6.8,3.21,3.5,42.88,47.58,2.49,1
46.13,39.34,1.56,2.07,3421.1,1.04,-5.1,-15.16,3.1,3.17,67.61,134.8,3.54,1
44.67,30.78,1.18,1.99,13509.44,0.1,-10.24,-19.43,1.39,-0.04,40.48,49.09,3.48,1
42.72,33.84,1.08,1.87,12636.96,0.31,-8.51,-13.08,2.02,2.87,39.69,99.45,3.26,1
48.06,35.89,1.58,2.1,6399.49,0.66,-15.54,-6.24,3.21,5.16,73.07,70.39,3.68,1
43.16,36.56,1.48,2.04,5736.88,0.66,-24.54,-16.94,1.54,1.82,33.61,120.41,2.07,1
49.37,30.02,0.88,1.93,10032.1,0.67,-11.3,-3.65,1.06,4.41,75.91,124.58,2.24,1
49.53,33.73,1.48,2.38,12450.95,0.87,-14.1,-23.52,2.61,-0.04,51.98,68.18,2.54,1
46.0,32.93,0.9,1.67,7627.23,0.56,-13.37,-8.4,2.21,2.8,77.9,43.12,2.7,1
41.93,37.96,0.86,2.4,13837.33,0.87,-11.07,-14.45,1.21,1.42,75.64,110.52,3.0,1
46.37,32.08,1.13,2.19,4390.31,0.33,-23.19,-4.45,3.26,-0.04,44.14,118.87,1.61,1
40.77,35.61,1.01,1.6,9362.5,0.71,-18.01,-17.01,3.76,2.84,78.13,123.31,2.9,1
44.5,33.86,1.31,1.55,12320.83,0.41,-12.56,-15.67,2.83,2.98,61.05,59.24,3.16,1
47.83,30.99,1.39,1.75,6414.68,0.91,-11.81,-8.68,2.55,5.01,37.31,117.42,3.55,1
41.54,36.36,0.84,1.7,3843.27,0.42,-15.65,-13.8,2.32,0.43,54.2,85.06,2.99,1
40.61,34.85,0.91,2.18,8036.3,1.19,-12.96,-12.44,3.67,1.27,44.99,131.66,2.08,1
49.53,33.73,1.48,2.38,12450.95,0.87,-14.1,-23.52,2.61,-0.04,51.98,68.18,2.54,1
49.58,38.67,1.42,1.67,12555.6,0.23,-19.24,-19.07,3.59,4.08,42.54,55.64,2.58,1
49.15,35.86,1.12,1.75,8995.82,0.15,-11.87,-17.49,3.64,5.35,33.67,84.64,3.45,1
43.39,37.08,1.49,1.61,3374.43,0.44,-12.56,-4.75,1.99,4.46,37.65,116.92,1.55,1
