Cell_ID,Batch_ID,Production_Line,Shift,Supplier,Ambient_Temp_C,Anode_Overhang_mm,Electrolyte_Volume_ml,Internal_Resistance_mOhm,Capacity_mAh,Retention_50Cycle_Pct,Defect_Type,Inspector_Comment,QC_Grade
CELL-004920,BTH-0001,Line_3,Evening,ChemCorp,20.76,0.108,14.81,14.01,4980.0,97.79,Poor Retention,,Scrap
CELL-014782,BTH-0001,Line_1,Night,ChemCorp,22.38,0.126,14.96,14.7,4989.0,97.35,None,,Grade A
CELL-019348,BTH-0001,Line_2,Night,LithioMat,20.18,0.135,14.97,13.8,5032.0,96.77,None,Routine visual inspection passed.,Grade A
CELL-008537,BTH-0001,Line_2,Morning,VoltIndustries,24.3,0.162,14.84,14.65,5042.0,95.88,None,,Grade A
CELL-010539,BTH-0001,Line_1,Evening,VoltIndustries,22.22,0.13,14.89,15.04,4943.0,97.74,High Internal Resistance,,Grade A
CELL-004223,BTH-0001,Line_2,Morning,LithioMat,26.62,0.138,14.98,13.35,4984.0,96.7,None,,Grade A
CELL-015415,BTH-0001,Line_3,Evening,LithioMat,23.95,0.155,14.93,13.79,5014.0,96.81,None,,Grade A
CELL-001395,BTH-0001,Line_3,Morning,ChemCorp,23.32,0.184,14.8,16.17,4827.0,94.79,High Internal Resistance,,Scrap
CELL-009039,BTH-0001,Line_2,Morning,ChemCorp,23.54,0.133,14.97,13.89,5011.0,96.7,None,,Grade A
CELL-005737,BTH-0001,Line_1,Night,ChemCorp,19.4,0.157,14.91,14.17,4971.0,97.4,None,,Grade A
CELL-014480,BTH-0001,Line_2,Morning,ChemCorp,26.52,0.13,14.58,14.89,5004.0,97.63,None,,Grade A
CELL-001165,BTH-0001,Line_2,Night,VoltIndustries,21.21,0.119,15.08,14.61,5002.0,98.29,None,,Grade B
CELL-001572,BTH-0001,Line_1,Night,ChemCorp,23.99,0.137,14.9,15.01,4996.0,96.16,High Internal Resistance,,Grade A
CELL-009113,BTH-0001,Line_1,Night,VoltIndustries,16.92,0.149,14.89,15.07,4952.0,97.01,High Internal Resistance,,Grade A
CELL-017142,BTH-0001,Line_3,Night,ChemCorp,21.88,0.138,14.98,13.92,4989.0,96.23,None,,Grade A
CELL-009201,BTH-0001,Line_1,Morning,ChemCorp,,0.177,15.02,14.6,5039.0,95.9,None,,Grade A
CELL-011679,BTH-0001,Line_1,Night,VoltIndustries,20.52,0.159,14.86,14.75,4983.0,97.0,None,,Grade A
CELL-007125,BTH-0001,Line_2,Night,ChemCorp,,0.152,15.02,13.87,5057.0,95.62,None,,Grade A
CELL-015262,BTH-0001,Line_1,Night,ChemCorp,21.63,0.117,15.0,13.94,4979.0,97.29,None,,Grade B
CELL-008313,BTH-0001,Line_3,Evening,ChemCorp,23.1,0.165,14.97,13.75,5021.0,96.31,None,,Grade A
CELL-018152,BTH-0001,Line_1,Night,VoltIndustries,21.33,0.143,14.97,15.11,4983.0,98.44,High Internal Resistance,,Grade A
CELL-008324,BTH-0001,Line_1,Evening,LithioMat,24.14,0.133,14.91,14.22,5038.0,97.8,None,,Grade A
CELL-001038,BTH-0001,Line_1,Morning,ChemCorp,25.88,0.144,14.69,15.07,4982.0,97.73,High Internal Resistance,,Grade A
CELL-000609,BTH-0001,Line_1,Night,LithioMat,22.87,0.135,14.79,14.2,4976.0,97.53,None,,Grade A
CELL-019096,BTH-0001,Line_2,Night,ChemCorp,22.55,0.162,15.06,13.95,4978.0,98.29,None,,Grade A
CELL-016849,BTH-0001,Line_1,Morning,LithioMat,23.51,0.124,15.0,13.6,5017.0,97.63,None,,Grade B
CELL-002712,BTH-0001,Line_3,Morning,LithioMat,24.18,0.112,15.05,14.04,5021.0,96.14,None,,Scrap
CELL-002746,BTH-0001,Line_1,Evening,VoltIndustries,23.96,0.146,15.07,15.21,4988.0,96.89,High Internal Resistance,,Grade B
CELL-009456,BTH-0001,Line_3,Evening,ChemCorp,23.68,0.149,14.94,14.11,4995.0,97.47,None,,Grade A
CELL-015982,BTH-0001,Line_3,Morning,ChemCorp,24.04,0.201,15.23,14.79,4955.0,96.15,None,,Grade A
CELL-011120,BTH-0001,Line_1,Morning,ChemCorp,24.2,0.144,15.02,14.23,4980.0,97.6,None,,Grade A
CELL-004497,BTH-0001,Line_1,Evening,ChemCorp,21.83,0.138,14.92,13.82,4996.0,97.59,None,,Grade A
CELL-013292,BTH-0001,Line_1,Evening,ChemCorp,23.14,0.135,15.11,14.31,5035.0,98.03,None,,Grade A
CELL-002827,BTH-0001,Line_3,Night,LithioMat,21.87,0.147,14.82,13.49,5008.0,98.89,None,,Grade A
CELL-015685,BTH-0001,Line_2,Night,ChemCorp,19.79,0.158,15.04,14.8,4993.0,96.84,None,,Grade A
CELL-000928,BTH-0001,Line_1,Evening,LithioMat,24.3,0.132,15.04,14.31,5009.0,96.83,None,,Grade A
CELL-000889,BTH-0001,Line_1,Morning,LithioMat,22.64,0.152,15.14,13.09,4985.0,97.54,None,,Grade A
CELL-013221,BTH-0001,Line_2,Night,ChemCorp,22.65,0.162,15.23,13.92,4960.0,97.36,None,,Grade A
CELL-008780,BTH-0001,Line_1,Night,LithioMat,21.35,0.185,14.88,13.94,4988.0,97.48,None,,Grade A
CELL-001342,BTH-0001,Line_3,Morning,ChemCorp,22.73,0.152,14.85,14.18,5053.0,98.09,None,,Grade A
CELL-010161,BTH-0001,Line_2,Night,ChemCorp,19.83,0.141,15.03,13.77,4980.0,96.77,None,,Grade A
CELL-016702,BTH-0002,Line_1,Night,ChemCorp,23.89,0.134,14.96,13.85,5034.0,95.66,None,,Grade A
CELL-014216,BTH-0002,Line_3,Morning,ChemCorp,24.92,0.159,14.88,14.65,4926.0,97.33,None,,Grade A
CELL-002974,BTH-0002,Line_1,Morning,LithioMat,21.87,0.12,14.95,13.48,4984.0,96.46,None,,Grade B
CELL-015569,BTH-0002,Line_3,Morning,ChemCorp,24.87,0.173,15.03,14.99,5030.0,97.75,None,,Grade A
CELL-000279,BTH-0002,Line_1,Evening,LithioMat,20.7,0.159,14.97,13.59,5012.0,96.35,None,,Grade A
CELL-010776,BTH-0002,Line_3,Night,LithioMat,21.87,0.168,15.08,14.84,4965.0,96.04,None,,Grade A
CELL-011026,BTH-0002,Line_3,Evening,ChemCorp,24.89,0.139,15.0,13.52,4966.0,96.56,None,,Grade A
CELL-003988,BTH-0002,Line_2,Night,ChemCorp,22.55,0.142,15.1,14.22,5001.0,95.75,None,,Grade A
CELL-019728,BTH-0002,Line_2,Evening,LithioMat,23.99,0.179,14.93,14.13,5012.0,96.89,None,Shift handover completed.,Grade A
CELL-014356,BTH-0002,Line_1,Morning,ChemCorp,23.74,0.121,15.07,13.56,4969.0,98.98,None,,Grade B
CELL-009384,BTH-0002,Line_1,Evening,ChemCorp,24.22,0.141,15.05,13.62,4957.0,99.14,None,,Grade A
CELL-015597,BTH-0002,Line_3,Night,LithioMat,21.27,0.136,15.02,14.81,4939.0,96.76,None,,Grade A
CELL-014099,BTH-0002,Line_3,Night,LithioMat,,0.16,15.08,13.81,4937.0,96.96,None,,Grade A
CELL-009664,BTH-0002,Line_1,Evening,ChemCorp,25.37,0.146,15.07,13.46,4985.0,96.9,None,,Grade A
CELL-017048,BTH-0002,Line_1,Evening,LithioMat,24.4,0.124,15.06,14.11,4968.0,95.34,None,,Grade B
CELL-017743,BTH-0002,Line_3,Night,LithioMat,,0.159,14.94,14.46,4996.0,97.67,None,,Grade A
CELL-011192,BTH-0002,Line_1,Evening,ChemCorp,23.37,0.162,15.0,13.79,4971.0,97.24,None,,Grade A
CELL-000088,BTH-0002,Line_3,Morning,ChemCorp,25.22,0.18,14.96,13.59,4989.0,95.99,None,,Grade A
CELL-011178,BTH-0002,Line_2,Morning,LithioMat,26.97,0.144,14.69,16.22,4819.0,94.66,High Internal Resistance,,Scrap
CELL-002490,BTH-0002,Line_1,Morning,LithioMat,24.72,0.188,15.0,13.19,5047.0,98.09,None,,Grade A
CELL-007367,BTH-0002,Line_1,Morning,LithioMat,25.32,0.167,15.01,13.73,5036.0,96.26,None,,Grade A
CELL-005824,BTH-0002,Line_1,Night,LithioMat,22.17,0.139,15.05,14.59,5019.0,97.19,None,,Grade A
CELL-012950,BTH-0002,Line_3,Night,LithioMat,22.56,0.171,15.05,14.12,5041.0,97.1,None,,Grade A
CELL-012771,BTH-0002,Line_2,Night,ChemCorp,21.25,0.114,15.0,14.01,4983.0,95.82,None,,Scrap
CELL-000360,BTH-0002,Line_3,Evening,LithioMat,22.79,0.142,14.94,13.47,5003.0,96.51,None,,Grade A
CELL-006519,BTH-0002,Line_1,Night,LithioMat,23.52,0.144,14.92,14.04,5059.0,95.31,None,,Grade A
CELL-005929,BTH-0002,Line_1,Evening,LithioMat,25.58,0.084,14.65,15.03,4994.0,97.73,High Internal Resistance,Laser alignment recalibrated mid-batch.,Scrap
CELL-019935,BTH-0002,Line_3,Morning,ChemCorp,26.02,0.175,14.62,15.1,5010.0,97.81,High Internal Resistance,,Grade A
CELL-002659,BTH-0002,Line_1,Night,ChemCorp,22.04,0.145,15.0,13.69,4947.0,95.84,None,Standard calibration OK.,Grade A
CELL-004333,BTH-0002,Line_2,Night,ChemCorp,21.8,0.152,15.02,13.73,5046.0,97.5,None,,Grade A
CELL-011107,BTH-0002,Line_3,Evening,ChemCorp,22.18,0.143,15.03,14.03,4954.0,95.99,None,,Grade A
CELL-007084,BTH-0002,Line_2,Night,LithioMat,19.82,0.193,14.93,14.22,5035.0,96.89,None,,Grade A
CELL-009817,BTH-0002,Line_2,Night,ChemCorp,21.97,0.139,14.94,14.67,4965.0,97.52,None,,Grade A
CELL-004574,BTH-0002,Line_2,Night,ChemCorp,19.33,0.121,14.97,14.18,4986.0,96.5,None,,Grade B
CELL-011654,BTH-0002,Line_1,Evening,ChemCorp,26.32,0.136,14.9,13.93,4981.0,96.35,None,,Grade A
CELL-001751,BTH-0002,Line_3,Night,ChemCorp,20.44,0.145,14.92,13.88,5020.0,97.3,None,,Grade A
CELL-018572,BTH-0002,Line_1,Morning,ChemCorp,24.16,0.147,15.02,13.33,5023.0,96.41,None,,Grade A
CELL-017992,BTH-0003,Line_1,Morning,ChemCorp,23.2,0.145,14.93,13.28,4979.0,97.33,None,,Grade A
CELL-009448,BTH-0003,Line_1,Night,ChemCorp,21.68,0.143,14.98,14.76,5039.0,96.19,None,,Grade A
CELL-007625,BTH-0003,Line_3,Morning,LithioMat,23.12,0.163,15.18,13.95,4994.0,97.09,None,,Grade A
CELL-002147,BTH-0003,Line_1,Evening,ChemCorp,23.23,0.175,14.86,14.06,5013.0,96.96,None,,Grade A
CELL-005392,BTH-0003,Line_2,Evening,LithioMat,23.1,0.18,14.93,13.99,4994.0,96.72,None,,Grade A
CELL-002906,BTH-0003,Line_2,Evening,LithioMat,23.37,0.156,15.12,13.93,4969.0,96.46,None,,Grade A
CELL-015181,BTH-0003,Line_3,Night,ChemCorp,22.88,0.157,15.06,13.36,4977.0,97.17,None,,Grade A
CELL-018356,BTH-0003,Line_1,Night,LithioMat,22.14,0.137,15.18,13.37,4973.0,95.79,None,,Grade A
CELL-010588,BTH-0003,Line_3,Night,LithioMat,19.58,0.145,15.11,13.62,5004.0,97.07,None,,Grade A
CELL-017883,BTH-0003,Line_2,Evening,ChemCorp,25.51,0.136,15.13,13.38,4979.0,97.16,None,,Grade A
CELL-005180,BTH-0003,Line_3,Night,VoltIndustries,23.01,0.149,15.15,14.17,4974.0,97.83,None,,Grade A
CELL-018970,BTH-0003,Line_2,Evening,LithioMat,24.27,0.133,14.87,13.76,4962.0,97.08,None,,Grade A
CELL-003173,BTH-0003,Line_1,Morning,ChemCorp,23.3,0.082,14.99,14.2,5024.0,98.42,Poor Retention,Laser alignment recalibrated mid-batch.,Scrap
CELL-017892,BTH-0003,Line_3,Morning,ChemCorp,22.35,0.164,15.22,14.31,4974.0,96.15,None,,Grade A
CELL-009065,BTH-0003,Line_1,Evening,LithioMat,23.61,0.185,14.78,15.69,4871.0,91.75,High Internal Resistance,,Grade B
CELL-015337,BTH-0003,Line_1,Morning,ChemCorp,23.92,0.125,15.12,12.67,4982.0,98.52,None,,Grade A
CELL-013441,BTH-0003,Line_2,Morning,ChemCorp,22.48,0.139,14.97,14.57,5014.0,98.21,None,,Grade A
CELL-006419,BTH-0003,Line_3,Evening,VoltIndustries,23.53,0.15,14.96,15.18,5013.0,96.91,High Internal Resistance,,Grade A
CELL-010824,BTH-0003,Line_3,Night,ChemCorp,22.68,0.134,14.97,13.76,5041.0,97.57,None,,Grade A
CELL-002550,BTH-0003,Line_1,Morning,LithioMat,25.19,0.15,15.18,13.85,5061.0,96.35,None,,Grade A
CELL-003747,BTH-0003,Line_1,Night,LithioMat,18.73,0.133,15.04,14.77,5000.0,97.01,None,,Grade A
CELL-006653,BTH-0003,Line_1,Night,ChemCorp,22.86,0.161,15.03,13.75,5029.0,97.31,None,,Grade A
CELL-011303,BTH-0003,Line_1,Morning,ChemCorp,21.51,0.15,14.9,13.63,5000.0,96.57,None,,Grade A
CELL-003648,BTH-0003,Line_2,Morning,ChemCorp,23.59,0.143,15.05,14.82,4999.0,97.88,None,,Grade A
CELL-011349,BTH-0003,Line_2,Evening,LithioMat,25.05,0.151,14.9,13.91,5001.0,98.09,None,,Grade A
CELL-003670,BTH-0003,Line_1,Night,ChemCorp,23.83,0.15,14.81,14.45,4977.0,95.78,None,,Grade A
CELL-017276,BTH-0003,Line_2,Evening,LithioMat,23.3,0.167,14.84,14.98,5022.0,94.64,Poor Retention,,Grade A
CELL-006151,BTH-0003,Line_2,Evening,ChemCorp,22.96,0.165,15.02,13.7,4996.0,96.29,None,,Grade A
CELL-005756,BTH-0003,Line_2,Morning,LithioMat,23.72,0.175,14.99,14.12,5018.0,97.74,None,,Grade A
CELL-005653,BTH-0003,Line_2,Night,LithioMat,24.57,0.166,15.1,14.5,4955.0,96.86,None,,Grade A
CELL-018878,BTH-0003,Line_2,Evening,LithioMat,25.95,0.167,14.74,14.94,5025.0,97.63,None,,Grade A
CELL-018899,BTH-0003,Line_1,Morning,ChemCorp,23.24,0.151,14.93,13.75,4985.0,97.08,None,,Grade A
CELL-013538,BTH-0003,Line_3,Morning,VoltIndustries,28.38,0.17,14.8,15.19,4990.0,97.83,High Internal Resistance,,Grade A
CELL-001218,BTH-0003,Line_2,Night,LithioMat,,0.126,15.18,14.42,5061.0,95.95,None,Routine visual inspection passed.,Grade A
CELL-002064,BTH-0003,Line_3,Evening,ChemCorp,25.55,0.165,14.68,15.97,4852.0,92.52,High Internal Resistance,,Grade B
CELL-010517,BTH-0004,Line_1,Evening,ChemCorp,22.12,0.129,15.15,13.94,5015.0,97.41,None,,Grade A
CELL-008318,BTH-0004,Line_2,Morning,ChemCorp,24.46,0.123,14.92,14.9,4981.0,96.89,None,,Grade B
